	TICKER	COUNT
0	PYPL	10 ************
1	AMZN	10*************
2	CRM	9
3	DIS	8
4	AAPL	8
5	ALK	8
6	FB	8
7	MSFT	8
8	BA	8
9	NKE	7
10	ETSY	7
11	XOM	7
12	NVDA	7
13	FANG	7
14	KO	7**
15	ATVI	6********************
16	MRVL	6
17	WMT	6
18	DHI	6********************
19	LEN	6
20	QCOM	6
21	GM	6******************* 이거 피이 낮음 7
22	ENPH	6
23	BMY	6
24	GPN	6
25	COP	6
26	CAT	6
27	MA	5
28	LVS	5
29	SNPS	5
30	MTCH	5
31	HPE	5
32	ABBV	5
33	AMD	5
34	GNRC	5
35	CVX	5
36	CVS	5 **********************
37	TMUS	5
38	MCD	5
39	BBWI	5
40	MOS	5
41	V	5
42	PSX	5
43	CDNS	5
44	PG	5
45	FCX	5
46	INTC	5
47	EOG	5
48	GOOGL	5
49	MU	5
50	PM	4
51	ADBE	4
52	TER	4
53	NRG	4
54	PAYC	4
55	PTC	4
56	CMG	4
57	CZR	4
58	ADI	4
59	DOW	4
60	C	4
61	DISCA	4
62	GS	4
63	SWKS	4
64	INTU	4
65	VIAC	4
66	TPR	4
67	WBA	4
68	TWTR	4
69	KLAC	4
70	IBM	4
71	CRWD	4
72	VLO	4
73	SLB	4
74	WDC	4
75	VRTX	4
76	MPC	4
77	NWSA	4
78	ADSK	4
79	AVGO	4
80	UAA	4
81	DVN	4
82	MPWR	4
83	DXC	4
84	CDAY	4
85	SEDG	4
86	GILD	4
87	ROST	3
88	VSCO	3
89	JPM	3
90	PVH	3
91	LOW	3
92	WFC	3
93	DKS	3
94	ANET	3
95	NOW	3
96	FFIV	3
97	IPGP	3
98	FISV	3
99	EXPE	3
100	CFG	3
101	SCHW	3
102	MO	3
103	MDT	3
104	PENN	3
105	MET	3
106	MRNA	3
107	ULTA	3
108	ALGN	3
109	NYCB	3
110	DRI	3
111	NCLH	3
112	PFE	3
113	PHM	3
114	TXN	3
115	AMAT	3
116	CTXS	3
117	AMGN	3
118	ADP	3
119	TGT	3
120	NFLX	3
121	EQT	3
122	ALLY	3
123	WYNN	3
124	MCHP	3
125	LYB	3
126	GPS	3
127	UNP	3
128	PXD	3
129	MNST	3
130	WMB	3
131	MMM	3
132	MELI	3
133	UNH	3
134	SYF	3
135	MDLZ	3
136	QRVO	3
137	FIS	3
138	SPG	3
139	LUV	3
140	SBNY	3
141	FTNT	3
142	MRK	3
143	LAD	3
144	UTHR	3
145	OLN	2
146	APTV	2
147	FLT	2
148	IT	2
149	HD	2
150	DAL	2
151	TX	2
152	ANSS	2
153	TJX	2
154	ROP	2
155	BIIB	2
156	NXPI	2
157	IDXX	2
158	LNG	2
159	BYD	2
160	WAL	2
161	CCI	2
162	NEM	2
163	CSCO	2
164	SQ	2
165	TFX	2
166	VMC	2 
167	RL	2
168	RCL	2
169	DFS	2
170	UPS	2
171	ON	2
172	CE	2
173	BBY	2
174	T	2
175	HUM	2
176	IRM	2
177	BKNG	2
178	F	2
179	EA	2
180	EPAM	2
181	MS	2
182	EQH	2
183	EIX	2
184	PEP	2
185	XLNX	2
186	ELY	2
187	AZPN	2
188	AEP	2
189	CL	2
190	LW	2
191	CTAS	2
192	JRVR	2
193	BWA	2
194	SRE	2
195	LLY	2
196	CI	2
197	NXST	2
198	TMO	2
199	CCL	2
200	SIVB	2
201	ORLY	2
202	COF	2
203	OMF	2
204	WDAY	2
205	ZTS	2
206	ORCL	2
207	VNT	2
208	CF	2
209	RF	2
210	HON	2
211	LUMN	2
212	VLY	2
213	NSC	2
214	FL	2
215	TSLA	2
216	AIG	2
217	MRO	2
218	ISRG	2
219	DHR	2
220	OLED	2
221	OKTA	2
222	BK	2
223	PBCT	2
224	GTES	2
225	GLW	2
226	ZBRA	2
227	DAR	2
228	TAP	2
229	LRCX	2
230	BKR	2
231	NUE	2
232	LSCC	2
233	TYL	2
234	BAC	2
235	VRSN	2
236	HPQ	2
237	EMR	2
238	NLOK	2
239	BR	2
240	JAZZ	2
241	ZBH	2
242	EL	1
243	FMC	1
244	XLF	1
245	NRZ	1
246	WBS	1
247	HFC	1
248	BC	1
249	AZTA	1
250	HAL	1
251	SGH	1
252	CPE	1
253	EXR	1
254	KRG	1
255	POWI	1
256	RLGY	1
257	AXON	1
258	CAN	1
259	IVZ	1
260	REG	1
261	GPC	1
262	XRX	1
263	BGFV	1
264	UNM	1
265	SBUX	1
266	APPS	1
267	UPST	1
268	MPW	1
269	CMS	1
270	SWK	1
271	JD	1
272	CONN	1
273	PEAK	1
274	TTWO	1
275	YETI	1
276	SU	1
277	RRIV	1
278	Amazon.com / AMZN	1
279	OKE	1
280	TDUP	1
281	DEA	1
282	VRSK	1
283	MAR	1
284	SRPT	1
285	XLK	1
286	VTRS	1
287	HLT	1
288	STT	1
289	PAYX	1
290	BLK	1
291	UAL	1
292	PNC	1
293	BLMN	1
294	NLY	1
295	NTES	1
296	TSM	1
297	LPSN	1
298	DG	1
299	UE	1
300	ODP	1
301	Johnson & Johnson / JNJ	1
302	CARR	1
303	TRV	1
304	VNO	1
305	ATUS	1
306	SMTC	1
307	SYNA	1
308	HBAN	1
309	MCO	1
310	GWW	1
311	KMI	1
312	REGN	1
313	FRT	1
314	VTR	1
315	AIZ	1
316	WEC	1
317	XLRE	1
318	WHR	1
319	OGN	1
320	TECH	1
321	LPX	1
322	XLI	1
323	CUZ	1
324	XLV	1
325	BLFS	1
326	FCPT	1
327	ITW	1
328	FOXA	1
329	OVV	1
330	CELH	1
331	AAP	1
332	OZK	1
333	REGI	1
334	ALL	1
335	OPY	1
336	GFS	1
337	AKAM	1
338	HSY	1
339	SBAC	1
340	JASS	1
341	ADS	1
342	Nordstrom / JWN	1
343	PEG	1
344	SYY	1
345	KHC	1
346	PRG	1
347	LMT	1
348	CRNC	1
349	SAIL	1
350	NTR	1
351	RMBS	1
352	GGAL	1
353	MHK	1
354	UMC	1
355	SMH	1
356	DE	1
357	MKC	1
358	HRB	1
359	AJG	1
360	NNN	1
361	SO	1
362	FSLR	1
363	CFR	1
364	K	1
365	VCEL	1
366	GE	1
367	CVNA	1
368	JNPR	1
369	MP	1
370	CARA	1
371	AFL	1
372	SEM	1
373	NCR	1
374	KIM	1
375	RUN	1
376	PWR	1
377	TWNK	1
378	HPP	1
379	NLSN	1
380	PZZA	1
381	CADE	1
382	NTAP	1
383	VST	1
384	STX	1
385	APD	1
386	RTX	1
387	J	1
388	TROW	1
389	VNOM	1
390	HIBB	1
391	YUM	1
392	NTRS	1
393	AMN	1
394	TXT	1
395	PLD	1
396	LNC	1
397	AGNC	1
398	GPI	1
399	Royal Dutch Shell / RDS.B	1
400	LYLT	1
401	QIWI	1
402	XME	1
403	STLA	1
404	XLC	1
405	BIDU	1
406	Hertz Global Holdings / HTZ	1
407	PH	1
408	WRK	1
409	XLB	1
410	PSA	1
411	CHRS	1
412	CRUS	1
413	DXCM	1
414	EBAY	1
415	WELL	1
416	ICE	1
417	ASX	1
418	YELP	1
419	MXL	1
420	CTSH	1
421	ZIM	1
422	DISH	1
423	PPBI	1
424	MKTX	1
425	SLAB	1
426	TDY	1
427	TRMB	1
428	ED	1
429	TFC	1
430	CRL	1
431	ABC	1
432	TREE	1
433	CBRE	1
434	KMX	1
435	WST	1
436	RJF	1
437	WU	1
438	STZ	1
439	FITB	1
440	WNS	1
441	PLMR	1
442	PLUG	1
443	CMI	1
444	AMT	1
445	MTB	1
446	NWL	1
447	STLD	1
448	RH	1
449	CDW	1
450	PNW	1
451	WOLF	1
452	FHN	1
453	NEE	1
454	BIO	1
455	AAL	1
456	PRU	1
457	TNL	1
458	XHB	1
459	ABMD	1
460	KTB	1
461	KEY	1
462	AXP	1
463	XEL	1
464	UBER	1
465	EPRT	1
466	FTI	1
467	PCG	1
468	NEO	1
469	XLU	1
470	EVRG	1
471	Visa / V	1
472	DNUT	1
473	TCMD	1
474	O	1
475	JKHY	1
476	General Motors / GM	1
477	SIX	1
478	ZD	1
479	PKI	1
480	CHK	1
481	MT	1
482	ETN	1
483	MLKN	1
484	TRGP	1
485	GNW	1
486	DIOD	1
487	AHH	1
488	LKQ	1
489	FNB	1
490	ZYXI	1
491	PKX	1
492	ASML	1
493	CMCSA	1
494	SJM	1
495	TCOM	1
496	EWBC	1
497	AT&T / T	1
498	ZEUS	1
499	CNHI	1
500	HQY	1
501	Berkshire Hathaway / BRK.A	1
502	ZION	1
503	SBRA	1
504	AES	1
505	HIW	1
506	TALO	1
507	RPT	1
508	BPOP	1
509	APH	1
510	HBI	1
511	SKX	1
512	AM	1
513	IAA	1
514	FRC	1
515	MCK	1
516	VOYA	1
517	PACW	1
518	EMN	1
519	OFC	1
520	VZ	1
521	ATO	1
522	PBR	1
523	MGM	1
524	ALGM	1
525	COUR	1
526	GDDY	1
527	BKU	1
