country,year,CA,inflation,education,unemployment rate,GDP growth rate
Brazil,2006,2473,4.2,9.9127294,8.64,24.22642457
Brazil,2007,2451,3.6,9.9127294,8.33,26.13159372
Brazil,2008,3441,5.7,9.9127294,7.34,21.3831195
Brazil,2009,2917,4.9,9.9127294,8.52,-1.698570889
Brazil,2010,3655,5,8.3287854,7.74,32.50422508
Brazil,2011,3286,6.6,8.3287854,6.92,18.44060676
Brazil,2012,3053,5.4,8.3287854,7.19,-5.772198203
Brazil,2013,3224,6.2,8.3287854,6.98,0.309032958
Brazil,2014,2945,6.3,8.3287854,6.66,-0.679927519
Brazil,2015,2762,9,6.9335171,8.43,-26.61974546
Brazil,2016,2681,8.7,6.9335171,11.6,-0.361455598
Brazil,2017,2771,3.4,6.9335171,12.82,14.87614032
Brazil,2018,3859,3.7,6.9335171,12.33,-8.597335785
Brazil,2019,3356,3.7,6.9335171,12.08,-2.425081784
Brazil,2020,2832,3.2,5.7204806,11.97,0.583996624
Canada,2006,9945,2,0.4903165,6.35,12.49037678
Canada,2007,10326,2.1,0.4903165,6.066667,11.36994563
Canada,2008,11308,2.4,0.4903165,6.175,5.744391063
Canada,2009,8422,0.3,0.4903165,8.375,-11.48890442
Canada,2010,10282,1.8,0.369564,8.116667,17.6720918
Canada,2011,11517,2.9,0.369564,7.558333,10.85759814
Canada,2012,11052,1.5,0.369564,7.333333,2.238642002
Canada,2013,13167,0.9,0.369564,7.125,1.012703061
Canada,2014,11459,1.9,0.369564,6.941667,-2.364395345
Canada,2015,11517,1.1,0.2798925,6.941667,-13.71772275
Canada,2016,12149,1.4,0.2798925,7.05,-1.792030162
Canada,2017,12175,1.6,0.2798925,6.4,7.959128438
Canada,2018,14465,2.3,0.2798925,5.891667,4.023604453
Canada,2019,17085,1.9,0.2798925,5.733333,1.174820694
Canada,2020,10443,0.7,0.2113434,9.558333,-4.615503793
China,2006,18368,1.5,8.9755719,4.43,20.39251253
China,2007,21137,4.8,8.9755719,4,29.00337009
China,2008,24825,5.9,8.9755719,4.2,29.40460606
China,2009,26785,-0.7,8.9755719,4.3,11.0440168
China,2010,32145,3.3,7.0553413,4.14,19.3163104
China,2011,32021,5.4,7.0553413,4.09,24.0561332
China,2012,32194,2.6,7.0553413,4.09,12.98721905
China,2013,35965,2.6,7.0553413,4.05,12.16770118
China,2014,37537,2,7.0553413,4.09,9.459124959
China,2015,39375,1.4,5.4916837,4.05,5.592667931
China,2016,43073,2,5.4916837,4.02,1.552435319
China,2017,45394,1.6,5.4916837,3.9,9.588768073
