province,year,total_population,nr_women,nr_younger_than_5,nr_between_5_and_10,nr_between_10_and_15,nr_between_15_and_20,nr_between_20_and_25,nr_between_25_and_45,nr_between_45_and_65,nr_between_65_and_80,nr_above_80,nr_in_urban_region,nr_buildings,nr_buildings_per_km2,nr_personal_vehicles,km_total_road,km_city_road,km_provincial_road,km_national_road
Groningen,2003,572997,288684,32984,31825,32194,34876,45008,169407,144055,60205,22443,92100,246447,106,212421,6467,5632,587,248
Groningen,2004,574384,289154,32713,31961,32182,35080,45284,167526,146519,60387,22732,96240,247233,106,214479,6511,5694,570,248
Groningen,2005,575072,289528,32131,31919,32293,35182,45463,165228,149043,60714,23099,96830,247483,106,216372,6528,5708,569,251
Groningen,2006,574042,288953,31314,31963,31876,35462,44959,162774,151067,61358,23269,96270,247735,106,219442,6564,5744,570,250
Groningen,2007,573614,288823,30282,32167,31445,35971,45330,159887,153071,61896,23565,97890,248371,106,223262,6601,5780,618,202
Groningen,2008,573459,288781,29448,32075,31407,36108,46008,156547,155097,62947,23822,98340,250383,107,227491,6614,5793,619,203
Groningen,2009,574092,289111,28892,31862,31499,36162,46975,153504,156813,64350,24035,100380,252142,108,231489,6636,5816,618,203
Groningen,2010,576668,290173,28792,31374,31571,36566,48208,151169,158649,66054,24285,105060,253984,109,235474,6650,5828,611,211
Groningen,2011,579036,291112,28687,30654,31674,36483,49584,149610,160021,67576,24747,109010,254677,110,239339,6649,5832,606,211
Groningen,2012,580875,292121,28662,29853,32003,36199,50852,147963,159036,71322,24985,113340,265332,114,242080,6664,5861,592,211
Groningen,2013,581705,292430,28423,29156,31929,36337,51319,146348,158461,74467,25265,115850,267466,115,242790,6663,5869,583,211
Groningen,2014,582728,292908,27753,28612,31873,36767,52125,144802,158165,77024,25607,118780,271087,117,242405,6675,5884,579,211
Groningen,2015,583942,293102,27188,28574,31359,37053,52777,142782,159009,79176,26024,122860,272774,117,243258,6684,5886,580,218
Groningen,2016,583721,292663,26637,28343,30701,36820,52753,141503,159560,81097,26307,123330,274719,118,245369,6687,5895,574,218
Groningen,2017,583581,292290,26271,28321,29966,36795,52387,140402,159856,82952,26631,126100,276728,119,248616,6690,5908,569,213
Friesland,2003,639787,320304,40865,40108,40750,41208,38141,181801,164215,69074,23625,28970,268200,80,243351,8541,7556,677,308
Friesland,2004,642066,321410,40908,40196,41063,40809,38380,179619,167080,69917,24094,28940,269378,80,246334,8612,7628,676,308
Friesland,2005,642977,321742,40353,40385,40854,40665,38257,177027,169790,70934,24712,27460,271500,81,249493,8632,7648,676,308
Friesland,2006,642230,321619,39316,40674,40704,40146,37366,174393,172241,72133,25257,29000,273395,82,255391,8678,7692,676,309
Friesland,2007,642209,321826,38515,40933,40287,40147,36947,171559,175123,73283,25415,29520,275221,82,261629,8715,7732,672,310
Friesland,2008,643189,322087,37524,41277,40093,40137,36612,169041,177644,74840,26021,30330,277959,83,267912,8756,7773,671,311
Friesland,2009,644811,322796,36580,41353,40116,40518,36698,166149,179818,76871,26708,29390,280356,84,273880,8790,7808,670,311
Friesland,2010,646305,323394,36124,40817,40364,40516,37093,163263,181336,79354,27438,29680,281632,84,279179,8805,7819,671,315
Friesland,2011,647282,323843,35724,39960,40861,40363,37283,160267,183214,81541,28069,31390,282689,85,284745,8825,7836,671,318
Friesland,2012,647214,323719,35132,39058,41225,39956,37329,157352,182529,85924,28709,31720,287341,86,289591,8835,7845,671,320
Friesland,2013,646862,323420,34557,38100,41526,39759,37078,154563,182401,89703,29175,36760,289381,87,291098,8837,7851,666,320
Friesland,2014,646317,323075,33736,37152,41631,39860,37070,151492,182931,92947,29498,38330,292181,88,291284,8856,7869,664,323
