country,year,Export of goods,inflation,education,unemployment rate,GDP growth rate
Brazil,2006,913,4.2,9.9127294,8.64,11.04223426
Brazil,2007,1114,3.6,9.9127294,8.33,12.91833923
Brazil,2008,1677,5.7,9.9127294,7.34,14.26588036
Brazil,2009,1759,4.9,9.9127294,8.52,7.168935823
Brazil,2010,2169,5,8.3287854,7.74,16.64769125
Brazil,2011,2416,6.6,8.3287854,6.92,12.68706498
Brazil,2012,2605,5.4,8.3287854,7.19,10.01904719
Brazil,2013,2703,6.2,8.3287854,6.98,10.71360816
Brazil,2014,2336,6.3,8.3287854,6.66,8.411423566
Brazil,2015,2231,9,6.9335171,8.43,3.767247771
Brazil,2016,1993,8.7,6.9335171,11.6,4.537133882
Brazil,2017,1890,3.4,6.9335171,12.82,5.041236661
Brazil,2018,2041,3.7,6.9335171,12.33,6.323826895
Brazil,2019,2038,3.7,6.9335171,12.08,5.742885096
Brazil,2020,1872,3.2,5.7204806,11.97,0.583996624
Canada,2006,3695,2,0.4903165,6.35,5.276767563
Canada,2007,3175,2.1,0.4903165,6.066667,5.416061964
Canada,2008,3426,2.4,0.4903165,6.175,5.031499162
Canada,2009,3512,0.3,0.4903165,8.375,-5.172292056
Canada,2010,4301,1.8,0.369564,8.116667,6.027617298
Canada,2011,4992,2.9,0.369564,7.558333,6.483306603
Canada,2012,4287,1.5,0.369564,7.333333,2.995271307
Canada,2013,4110,0.9,0.369564,7.125,4.107156246
Canada,2014,4029,1.9,0.369564,6.941667,4.870608286
Canada,2015,4013,1.1,0.2798925,6.941667,-0.223419944
Canada,2016,4893,1.4,0.2798925,7.05,1.763126865
Canada,2017,5400,1.6,0.2798925,6.4,5.682745546
Canada,2018,6266,2.3,0.2798925,5.891667,4.228966931
Canada,2019,5737,1.9,0.2798925,5.733333,3.56512822
Canada,2020,6153,0.7,0.2113434,9.558333,-4.615503793
China,2006,3667,1.5,8.9755719,4.43,17.14701506
China,2007,4832,4.8,8.9755719,4,23.0833696
China,2008,6062,5.9,8.9755719,4.2,18.19833442
China,2009,5587,-0.7,8.9755719,4.3,9.169489476
China,2010,8114,3.3,7.0553413,4.14,18.24917357
China,2011,10267,5.4,7.0553413,4.09,18.39780374
China,2012,11241,2.6,7.0553413,4.09,10.37827996
China,2013,13506,2.6,7.0553413,4.05,10.09751569
China,2014,15216,2,7.0553413,4.09,8.533396339
