country,year,Export of service,inflation,education,unemployment rate,GDP growth rate
Brazil,2006,582,4.2,9.9127294,8.64,11.04223426
Brazil,2007,548,3.6,9.9127294,8.33,12.91833923
Brazil,2008,876,5.7,9.9127294,7.34,14.26588036
Brazil,2009,811,4.9,9.9127294,8.52,7.168935823
Brazil,2010,1109,5,8.3287854,7.74,16.64769125
Brazil,2011,1655,6.6,8.3287854,6.92,12.68706498
Brazil,2012,1835,5.4,8.3287854,7.19,10.01904719
Brazil,2013,1536,6.2,8.3287854,6.98,10.71360816
Brazil,2014,1565,6.3,8.3287854,6.66,8.411423566
Brazil,2015,1550,9,6.9335171,8.43,3.767247771
Brazil,2016,1209,8.7,6.9335171,11.6,4.537133882
Brazil,2017,1235,3.4,6.9335171,12.82,5.041236661
Brazil,2018,1300,3.7,6.9335171,12.33,6.323826895
Brazil,2019,1537,3.7,6.9335171,12.08,5.742885096
Brazil,2020,1093,3.2,5.7204806,11.97,0.583996624
Canada,2006,2365,2,0.4903165,6.35,5.276767563
Canada,2007,2992,2.1,0.4903165,6.066667,5.416061964
Canada,2008,3183,2.4,0.4903165,6.175,5.031499162
Canada,2009,3170,0.3,0.4903165,8.375,-5.172292056
Canada,2010,3543,1.8,0.369564,8.116667,6.027617298
Canada,2011,4070,2.9,0.369564,7.558333,6.483306603
Canada,2012,3937,1.5,0.369564,7.333333,2.995271307
Canada,2013,4371,0.9,0.369564,7.125,4.107156246
Canada,2014,4358,1.9,0.369564,6.941667,4.870608286
Canada,2015,4156,1.1,0.2798925,6.941667,-0.223419944
Canada,2016,5061,1.4,0.2798925,7.05,1.763126865
Canada,2017,5040,1.6,0.2798925,6.4,5.682745546
Canada,2018,5537,2.3,0.2798925,5.891667,4.228966931
Canada,2019,5698,1.9,0.2798925,5.733333,3.56512822
Canada,2020,5210,0.7,0.2113434,9.558333,-4.615503793
China,2006,1921,1.5,8.9755719,4.43,17.14701506
China,2007,1420,4.8,8.9755719,4,23.0833696
China,2008,2174,5.9,8.9755719,4.2,18.19833442
China,2009,2218,-0.7,8.9755719,4.3,9.169489476
China,2010,2465,3.3,7.0553413,4.14,18.24917357
China,2011,2931,5.4,7.0553413,4.09,18.39780374
China,2012,2973,2.6,7.0553413,4.09,10.37827996
China,2013,3652,2.6,7.0553413,4.05,10.09751569
China,2014,3699,2,7.0553413,4.09,8.533396339
China,2015,4258,1.4,5.4916837,4.05,7.038175433
China,2016,3916,2,5.4916837,4.02,8.352502736
China,2017,4042,1.6,5.4916837,3.9,11.47392313
China,2018,4513,2.1,5.4916837,3.8,10.48574947
China,2019,6079,2.9,5.4916837,3.62,7.313769423
China,2020,5105,2.5,4.2889335,4.2,2.98738428
India,2006,1867,5.8,37.2959735,5.32,17.13883746
India,2007,1517,6.4,37.2959735,5.28,15.13723053
India,2008,1591,8.3,37.2959735,5.57,12.56445127
India,2009,1544,10.9,37.2959735,5.64,15.45577634
India,2010,2018,12,33.4392988,5.6,19.91806367
India,2011,1875,8.9,33.4392988,5.65,14.48252717
India,2012,1938,9.3,33.4392988,5.67,13.77411697
India,2013,2361,10.9,33.4392988,5.61,12.96768713
India,2014,2537,6.4,33.4392988,5.57,10.98887529
India,2015,2614,5.9,29.9222128,5.51,10.45812354
India,2016,2313,4.9,29.9222128,5.42,11.76161756
India,2017,2172,2.5,29.9222128,5.33,11.03436765
India,2018,3970,4.9,29.9222128,5.36,10.51439492
India,2019,3918,7.7,29.9222128,5.36,7.751677489
India,2020,3337,5.6,26.706188,5.4,-4.371534669
Japan,2006,4563,0.2,6.4311205,4.141667,0.4985207
Japan,2007,3156,0.1,6.4311205,3.841667,0.76824158
Japan,2008,3070,1.4,6.4311205,3.991667,-2.124641375
Japan,2009,3638,-1.4,6.4311205,5.066667,-6.230374606
Japan,2010,3611,-0.7,5.2241758,5.05,2.140104708
Japan,2011,3873,-0.3,5.2241758,4.583333,-1.598656936
Japan,2012,3830,-0.1,5.2241758,4.35,0.608283585
Japan,2013,5106,0.3,5.2241758,4.025,1.643599238
Japan,2014,5442,2.8,5.2241758,3.591667,1.987514856
Japan,2015,5261,0.8,4.0632141,3.375,3.704855197
Japan,2016,5959,-0.1,4.0632141,3.116667,1.176936775
