Gender,Major,Country,COMMUNITY,WALL STREET,AVERAGE COMPETITIVENESS SCORE,Result
Male,Economics and Business Economics,Europe,1,,3.428571429,1
Male,Business Administration,Europe,,1,4.142857143,1
Female,Economics and Business Economics,Europe,,1,3.714285714,1
Male,Business Administration,Europe,1,,4.714285714,1
Female,Business Administration,Europe,,1,2,0
Male,Economics and Business Economics,Europe,1,,3.571428571,1
Male,Business Administration,Europe,,1,3.285714286,0
Male,Economics and Business Economics,Asia,,1,4,1
Female,Business Administration,America,,1,3.428571429,0
Male,Economics and Business Economics,Asia,,1,4,1
Female,Economics and Business Economics,Europe,,1,3.285714286,1
Female,Economics and Business Economics,Europe,,1,3.714285714,1
Female,Economics and Business Economics,Europe,,1,3.142857143,1
Male,Economics and Business Economics,Europe,1,,3.285714286,1
Male,Econometrics,Asia,,1,2.571428571,1
Male,Economics and Business Economics,Europe,1,,3.857142857,1
Male,Business Administration,Europe,,1,3.857142857,0
Male,Business Administration,Europe,1,,4.285714286,0
Male,Business Administration,Europe,1,,3.714285714,0
Male,Economics and Business Economics,Asia,,1,2.285714286,1
Male,Economics and Business Economics,Europe,,1,3.571428571,1
Female,Economics and Business Economics,Asia,1,,3.428571429,1
Male,Econometrics,Europe,1,,4.142857143,1
Female,Economics and Business Economics,Asia,1,,3.142857143,1
Female,Economics and Business Economics,Asia,1,,2.714285714,1
Female,Economics and Business Economics,Europe,1,,3.285714286,1
Male,Business Administration,Africa,,1,3.428571429,0
Female,Business Administration,Asia,1,,2,0
Female,Econometrics,Europe,,1,3.857142857,1
Female,Economics and Business Economics,Asia,1,,1.857142857,1
Female,Business Administration,Europe,1,,3.571428571,1
Male,Economics and Business Economics,Europe,,1,4.142857143,1
Female,Business Administration,Europe,1,,3.571428571,1
Male,Business Administration,Asia,,1,3.714285714,1
Female,Econometrics,Asia,,1,2.714285714,0
Male,Economics and Business Economics,Europe,,1,3.714285714,1
Female,Economics and Business Economics,Asia,,1,4,1
Male,Economics and Business Economics,Europe,1,,4,0
Male,Economics and Business Economics,Europe,,1,2.714285714,1
Female,Business Administration,Europe,,1,3.857142857,1
Male,Economics and Business Economics,Europe,1,,3.571428571,1
Male,Business Administration,Europe,,1,3.714285714,0
Female,Economics and Business Economics,Europe,,1,3.428571429,1
Female,Business Administration,America,1,,3.857142857,1
Female,Business Administration,Europe,,1,2.714285714,0
Female,Economics and Business Economics,Asia,,1,3.857142857,0
Female,Economics and Business Economics,Asia,1,,3.857142857,1
Female,Business Administration,Europe,,1,3.857142857,0
Female,Business Administration,Asia,,1,3.428571429,1
Female,Business Administration,Europe,,1,4,0
Female,Economics and Business Economics,Europe,1,,3.285714286,1
Male,Econometrics,Europe,,1,4.571428571,1
Male,Business Administration,Europe,,1,3.571428571,0
Male,Econometrics,Asia,,1,3.428571429,1
Female,Business Administration,Europe,,1,4,1
Female,Business Administration,America,1,,3.142857143,0
Male,Business Administration,Europe,1,,3.142857143,0
Female,Economics and Business Economics,Asia,,1,2.285714286,1
Female,Econometrics,Europe,,1,3.571428571,1
Female,Business Administration,America,,1,4,0
Male,Economics and Business Economics,Europe,,1,3.571428571,1
Male,Economics and Business Economics,America,1,,3.428571429,1
Male,Econometrics,Europe,1,,4,0
Female,Econometrics,Asia,1,,3.428571429,1
Female,Business Administration,Europe,1,,3.857142857,1
Female,Economics and Business Economics,Asia,,1,2.714285714,1
Female,Economics and Business Economics,Europe,,1,3.571428571,0
Female,Economics and Business Economics,Asia,1,,2.571428571,0
Male,Econometrics,Europe,1,,2.142857143,1
Male,Business Administration,America,1,,4.142857143,0
Female,Economics and Business Economics,Asia,,1,4.142857143,1
Female,Econometrics,Asia,,1,3.571428571,0
Female,Business Administration,Europe,,1,3.714285714,1
Female,Economics and Business Economics,Asia,,1,2.857142857,1
Female,Business Administration,Europe,1,,3.285714286,1
Female,Economics and Business Economics,Asia,1,,3.857142857,1
Male,Economics and Business Economics,Asia,,1,4.142857143,1
Male,Economics and Business Economics,Europe,,1,2.428571429,1
Male,Economics and Business Economics,Europe,1,,2.714285714,1
Female,Economics and Business Economics,Europe,1,,3.142857143,0
Female,Business Administration,Europe,,1,2.714285714,1
Female,Econometrics,Europe,,1,2.428571429,1
Female,Econometrics,Europe,1,,3,1
Female,Business Administration,Asia,1,,3.857142857,0
Female,Economics and Business Economics,Asia,1,,3.285714286,1
Female,Business Administration,Europe,1,,2.857142857,0
Male,Business Administration,Europe,,1,2.714285714,0
